Sub,Category,Dif,Time periods,Question,Answer
Awards,Movies,3,2010s,"Which movie starring Mark Ruffalo, Michael Keaton, and Rachel McAdams won the Oscar for Best Picture at the 88th Academy Awards in 2016?",Spotlight.
Awards,Movies,2,2010s,"Which dark comedy movie, whose alternate title is The Unexpected Virtue of Ignorance, won the Oscar for Best Picture at the 87th Academy Awards in 2015?",Birdman.
Awards,Movies,2,2010s,"Which movie, directed by Steve McQueen, won the Oscar for Best Picture at the 86th Academy Awards in 2014?",12 Years a Slave.
Awards,Movies,1,2010s,"Which movie, directed and produced by Ben Affleck, won the Oscar for Best Picture at the 85th Academy Awards in 2013?",Argo.
Awards,Movies,4,2010s,"Which movie, shot in the style of a black-and-white silent film, won the Oscar for Best Picture at the 84th Academy Awards in 2012?",The Artist.
Awards,Movies,3,2010s,"Which movie, starring Colin Firth as the future King George VI, won the Oscar for Best Picture at the 83rd Academy Awards in 2011?",The King's Speech.
Awards,Movies,1,2010s,Which war thriller starring Jeremy Renner won the Oscar for Best Picture at the 82nd Academy Awards in 2010?,The Hurt Locker.
Awards,Movies,1,2000s,Which loose adaptation of the novel Q & A won the Oscar for Best Picture at the 81st Academy Awards in 2009?,Slumdog Millionaire.
Awards,Movies,2,2000s,Which neo-Western crime thriller won the Oscar for Best Picture at the 80th Academy Awards in 2008?,No Country for Old Men.
Awards,Movies,1,2000s,Which Martin Scorcese thriller won the Oscar for Best Picture at the 79th Academy Awards in 2007?,The Departed.
Awards,Movies,2,2000s,Which movie controversially beat Brokeback Mountain for the Oscar for Best Picture at the 78th Academy Awards in 2006?,Crash.
Awards,Movies,1,2000s,Which Clint Eastwood sports drama won the Oscar for Best Picture at the 77th Academy Awards in 2005?,Million Dollar Baby.
Awards,Movies,3,2000s,Which fantasy movie won all eleven awards it was nominated at the 76th Academy Awards in 2004?,The Lord of the Rings: The Return of the King.
Awards,Movies,1,2000s,"Which movie, based on a 1975 musical, won the Oscar for Best Picture at the 75th Academy Awards in 2003?",Chicago.
Awards,Movies,1,2000s,"Which movie, that chronicles the life of mathematician John Nash, won the Oscar for Best Picture at the 74th Academy Awards in 2002?",A Beautiful Mind.
Awards,Movies,3,2000s,"Which movie, directed by Ridley Scott, won the Oscar for Best Picture at the 73rd Academy Awards in 2001?",Gladiator.
Awards,Movies,2,2000s,"Which movie, starring Kevin Spacey, won the Oscar for Best Picture at the 72nd Academy Awards in 2000?",American Beauty.
Awards,Movies,5,1990s,"Which movie, directed by John Madden, won the Oscar for Best Picture at the 71st Academy Awards in 1999?",Shakespeare in Love.
Awards,Movies,1,1990s,Which romantic disaster movie won the Oscar for Best Picture at the 70th Academy Awards in 1998?,Titanic.
Awards,Movies,4,1990s,"Which epic romantic war drama, directed by Anthony Minghella, won the Oscar for Best Picture at the 69th Academy Awards in 1997?",The English Patient.
Awards,Movies,1,1990s,Which Mel Gibson movie won the Oscar for Best Picture at the 68th Academy Awards in 1996?,Braveheart.
Awards,Movies,2,1990s,Which Tom Hanks movie won the Oscar for Best Picture at the 67th Academy Awards in 1995?,Forrest Gump.
Awards,Movies,1,1990s,Which Steven Spielberg movie won the Oscar for Best Picture at the 66th Academy Awards in 1994?,Schindler's List.
Awards,Movies,4,1990s,Which American Revisionist Western movie won the Oscar for Best Picture at the 65th Academy Awards in 1993?,Unforgiven.
Awards,Movies,2,1990s,Which horror thriller movie won the Oscar for Best Picture at the 64th Academy Awards in 1992?,The Silence of the Lambs.
Awards,Movies,3,1990s,"Which movie, starring, directed, and produced by Kevin Costner, won the Oscar for Best Picture at the 63rd Academy Awards in 1991?",Dances with Wolves.
Awards,Movies,3,1990s,"Which movie, starring Jessica Tandy, Morgan Freeman, and Dan Aykroyd, won the Oscar for Best Picture at the 62nd Academy Awards in 1990?",Driving Miss Daisy.
Awards,Movies,1,1980s,"Which movie, starring Tom Cruise and Dustin Hoffman, won the Oscar for Best Picture at the 61st Academy Awards in 1989?",Rain Man.
Awards,Movies,4,1980s,"Which movie, about the life of Aisin-Gioro Puyi, won the Oscar for Best Picture at the 60th Academy Awards in 1988?",The Last Emperor.
Awards,Movies,2,1980s,Which Oliver Stone war film won the Oscar for Best Picture at the 59th Academy Awards in 1987?,Platoon.
Awards,Movies,4,1980s,"Which romantic drama, directed and produced by Sydney Pollack, won the Oscar for Best Picture at the 58th Academy Awards in 1986?",Out of Africa.
Awards,Movies,1,1980s,Which fictionalized story about Mozart won the Oscar for Best Picture at the 57th Academy Awards in 1985?,Amadeus.
Awards,Movies,4,1980s,"Which family comedy-drama film directed, written, and produced by James L Brooks, won the Oscar for Best Picture at the 56th Academy Awards in 1984?",Terms of Endearment.
Awards,Movies,1,1980s,Which co-production between India and United Kingdom won the Oscar for Best Picture at the 55th Academy Awards in 1983?,Gandhi.
Awards,Movies,2,1980s,"Which movie, based on the true story of two British athletes in the 1924 Olympics, won the Oscar for Best Picture at the 54th Academy Awards in 1982?",Chariots of Fire.
Awards,Movies,5,1980s,"Which American drama, starring Donald Sutherland and Mary Tyler Moore, won the Oscar for Best Picture at the 53rd Academy Awards in 1981?",Ordinary People.
Awards,Movies,4,1980s,"Which legal drama, written and directed by Robert Benton, won the Oscar for Best Picture at the 52nd Academy Awards in 1980?",Kramer vs. Kramer.
Awards,Movies,3,1970s,"Which war drama, starring Robert De Niro, Christopher Walken, and John Savage, won the Oscar for Best Picture at the 51st Academy Awards in 1979?",The Deer Hunter.
Awards,Movies,3,1970s,"Which satirical romantic comedy-drama, directed by Woody Allen, won the Osar for Best Picture at the 50th Academy Awards in 1978?",Annie Hall.
Awards,Movies,1,1970s,Which Sylvester Stallone sports drama won the Oscar for Best Picture at the 49th Academy Awards in 1977?,Rocky.
Awards,Movies,3,1970s,"Which movie, starring Jack Nicholson as at a mental institution, won the Oscar for Best Picture at the 48th Academy Awards in 1976?",One Flew Over the Cuckoo's Nest.
Awards,Movies,1,1970s,Which movie became the first sequel to win the Oscar for Best Picture at the 47th Academy Awards in 1975?,The Godfather Part II.
Awards,Movies,4,1970s,"Which caper film, involving a complicated plot by two professional grifters to con a mob boss, won the Oscar for Best Picture at the 46th Academy Awards in 1974?",The Sting.
Awards,Movies,1,1970s,"Which classic crime film, directed by Francis Ford Coppola, won the Oscar for Best Picture at the 45th Academy Awards in 1973?",The Godfather.
Awards,Movies,4,1970s,"Which crime thriller, directed by William Friedkin, won the Oscar for Best Picture at the 44th Academy Awards in 1972?",The French Connection.
Awards,Movies,4,1970s,Which biographical World War II film won the Oscar for Best Picture at the 43rd Academy Awards in 1971?,Patton.
Awards,Movies,3,1970s,"Which movie, starring Dustin Hoffman and Jon Voight, won the Oscar for Best Picture at the 42nd Academy Awards in 1970?",Midnight Cowboy.
Awards,Movies,3,1960s,"Which musical, an adaptation of an adaptation of a Charles Dickens novel, won the Oscar for Best Picture at the 41st Academy Awards in 1969?",Oliver!
Awards,Movies,4,1960s,"Which mystery drama, directed by Norman Jewison, won the Oscar for Best Picture at the 40th Academy Awards in 1968?",In the Heat of the Night.
Awards,Movies,2,1960s,"Which movie, depicting the final years of Sir Thomas More, won the Oscar for Best Picture at the 39th Academy Awards in 1967?",A Man for All Seasons.
Awards,Movies,1,1960s,"Which musical, starring Julie Andrews and Christopher Plummer, won the Oscar for Best Picture at the 38th Academy Awards in 1966?",The Sound of Music.
Awards,Movies,4,1960s,"Which musical adaptation of the play Pygmalion, won the Oscar for Best Picture at the 37th Academy Awards in 1965?",My Fair Lady.
Awards,Movies,3,1960s,"Which British comedy, an adaptation of Henry Fielding's classic 1749 novel, won the Oscar for Best Picture at the 36th Academy Awards in 1964?",Tom Jones.
Awards,Movies,1,1960s,"Which classic movie, based on the 1926 book Seven Pillars of Wisdom, won the Oscar for Best Picture at the 35th Academy Awards in 1963?",Lawrence of Arabia.
Awards,Movies,3,1960s,"Which adaptation of a 1957 Broadway musical, which in turn was inspired by Romeo and Juliet, won the Oscar for Best Picture at the 34th Academy Awards in 1962?",West Side Story.
Awards,Movies,4,1960s,"Which romantic comedy drama, directed and produced by Billy Wilder, won the Oscar for Best Picture at the 33rd Academy Awards in 1961?",The Apartment.
Awards,Movies,4,1960s,"Which religious movie, adapted from an 1880 Lew Wallace novel, won the Oscar for Best Picture at the 32nd Academy Awards in 1960?",Ben-Hur.
Awards,Movies,3,1950s,"Which movie, based on a 1944 Colette novel, won the Oscar for Best Picture at the 31st Academy Awards in 1959?",Gigi.
Awards,Movies,2,1950s,Which David Lean war film won the Oscar for Best Picture at the 30th Academy Awards in 1958?,The Bridge on the River Kwai.
Awards,Movies,3,1950s,Which epic adventure comedy won the Oscar for Best Picture at the 29th Academy Awards in 1957?,Around the World in 80 Days.
Awards,Movies,5,1950s,"Which romantic drama, starring Ernest Borgnine and Betsy Blair, won the Oscar for Best Picture at the 28th Academy Awards in 1956?",Marty.
Awards,Movies,5,1950s,"Which crime drama, starring Marlon Brando, won the Oscar for Best Picture at the 27th Academy Awards in 1955?",On the Waterfront.
Awards,Movies,5,1950s,"Which war romance drama, based on a 1951 James Jones novel, won the Oscar for Best Picture at the 26th Academy Awards in 1954?",From Here to Eternity.
Awards,Movies,2,1950s,"Which circus movie, produced and directed by Cecil B DeMille, won the Oscar for Best Picture at the 25th Academy Awards in 1953?",The Greatest Show on Earth.
Awards,Movies,5,1950s,"Which musical comedy, inspired by a 1928 George Gershwin orchestral composition, won the Oscar for Best Picture at the 24th Academy Awards in 1952?",All American in Paris.
Awards,Movies,5,1950s,"Which movie, based on a 1946 Mary Orr short story, won the Oscar for Best Picture at the 23rd Academy Awards in 1951?",All About Eve.
Awards,Movies,5,1950s,"Which American film noir movie, based on a 1946 Robert Penn Warren novel, won the Oscar for Best Picture at the 22nd Academy Awards in 1950?",All the King's Men.
Awards,Movies,1,1900-1950,Which film adaptation of a Shakespeare play won the Oscar for Best Picture at the 21st Academy Awards in 1949?,Hamlet.
Awards,Movies,4,1900-1950,Which drama about a journalist posing as a Jew in New York City won the Oscar for Best Picture at the 20th Academy Awards in 1948?,Gentleman's Agreement.
Awards,Movies,5,1900-1950,"Which movie, alternatively titled Glory for Me and Home Again, won the Oscar for Best Picture at the 19th Academy Awards in 1947?",The Best Years of Our Lives.
Awards,Movies,5,1900-1950,"Which movie, based on a Charles R Jackson novel about an alcoholic writer, won the Oscar for Best Picture at the 18th Academy Awards and shared the Grand Prix at the first Cannes Film Festival in 1946?",The Lost Weekend.
Awards,Movies,5,1900-1950,"Which musical comedy drama, starring Bing Crosby and Barry Fitzgerald, won the Oscar for Best Picture at the 17th Academy Awards in 1945?",Going My Way.
Awards,Movies,5,1900-1950,"Which classic movie, based on the unproduced stage play Everybody Comes to Rick's, won the Oscar for Best Picture at the 16th Academy Awards in 1944?",Casablanca.
Awards,Movies,5,1900-1950,"Which romantic war drama, inspired by a 1940 Jan Struther novel, won the Oscar for Best Picture at the 15th Academy Awards in 1943?",Mrs. Miniver.
Awards,Movies,5,1900-1950,"Which drama set in Wales, based on a best-selling 1939 Richard Llewellyn novel, won the Oscar for Best Picture at the 14th Academy Awards in 1942?",How Green Was My Valley.
Awards,Movies,4,1900-1950,"Which romantic psychological thriller, directed by Alfred Hitchcock, won the Oscar for Best Picture at the 13th Academy Awards in 1941?",Rebecca.
Awards,Movies,2,1900-1950,"Which classic movie, adapted from a 1936 Margaret Mitchell novel, won the Oscar for Best Picture at the 12th Academy Awards in 1940?",Gone with the Wind.
Awards,Movies,5,1900-1950,"Which movie, adapted from a Pulitzer Prize-winning 1936 by George S Kaufman and Moss Hart, won the Oscar for Best Picture at the 11th Academy Awards in 1939?",You Can't Take It With You.
Awards,Movies,5,1900-1950,"Which biographical film about a 19th-century French author, won the Oscar for Best Picture at the 10th Academy Awards in 1938?",The Life of Emile Zola.
Awards,Movies,5,1900-1950,"Which cinematic adaptation of Broadway's Ziegfeld Follies, won the Oscar for Best Picture at the 9th Academy Awards in 1937?",The Great Ziegfeld.
Awards,Movies,5,1900-1950,"Which drama, based on a 1932 Charles Nordhoff and James Norman Hall novel, won the Oscar for Best Picture at the 8th Academy Awards in 1936?",Mutiny on the Bounty.
Awards,Movies,5,1900-1950,"Which movie, in which a pampered socialite tries to get out from under her father's thumb and falls in love with a roguish reporter, won the Oscar for Best Picture at the 7th Academy Awards in 1935?",It Happened One Night.
Awards,Movies,5,1900-1950,"Which pre-Code drama, based on a 1931 play by Noël Coward, won the Oscar for Best Picture at the 6th Academy Awards in 1934?",Cavalcade.
Awards,Movies,5,1900-1950,"Which pre-Code drama, based on a Drake 1930 play, won the Oscar for Best Picture at the 5th Academy Awards in 1932?",Grand Hotel.
Awards,Movies,5,1900-1950,"Which pre-Code Western, based on a 1930 Edna Ferber novel, won the Oscar for Best Picture at the 4th Academy Awards in 1931?",Cimarron.
Awards,Movies,3,1900-1950,"Which pre-Code anti-war film, based on a 1929 Erich Maria Remarque novel, won the Oscar for Best Picture at the 3rd Academy Awards in 1930?",All Quiet on the Western Front.
Awards,Movies,5,1900-1950,"Which pre-Code musical, featuring the popular hit You Were Meant for Me, won the Oscar for Best Picture at the 2nd Academy Awards in 1930?",The Broadway Melody.
Awards,Movies,5,1900-1950,Which silent war film won the first-ever Oscar for Best Picture at the 1st Academy Awards in 1929?,Wings.
Games,Miscellaneous,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the maximum possible number of queens on a chess board?,18
Details,Television,2,2000s,What was the flight number of the doomed passenger plane in the television series Lost?,815
Government,Politics,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the Westminster system of government, which portion of the opposition's responsibility is it to mirror members of the Cabinet, scrutinise the policies and actions of the government, as well as to offer alternative policies?",The shadow cabinet or shadow ministry.
Psychology,Science,2,1800-1900,Which famous Russian psychologist is best known for his research on the digestive systems of dogs?,Ivan Pavlov.
Games,Miscellaneous,3,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many spaces are on a standard Connect 4 game?,42
Psychology,Science,4,1900-1950,"According to Sigmund Freud, the human psyche is structured into which three parts?","The id, ego, and superego."
Translation,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Translate this Polish word into English: Cztery.,Four.
Events,Politics,3,2010s,The Prime Minister of which country was forced to resign after widespread protests due to his being named in the Panama Papers in 2016?,Iceland.
Translation,Language,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Translate this German phrase into English: Guten Morgen.,Good morning.
Terms,Technology,5,"1980s, 1990s, 2000s, 2010s, 2020s","In the modem world, what does DSL stand for?",Digital Subscriber Line.
Artists,Music,2,"2000s, 2010s, 2020s","Which English indie rock band, fronted by Joe Newman, sounds like a keyboard shortcut?",Alt-J.
